id,data_inversa,dia_semana,horário,uf,br,km,município,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veículos,latitude,longitude,regional,delegacia,uop
208016,16/04/19,terça-feira,07:33:00,PB,230,"21,2",JOÃO PESSOA,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,2,0,1,0,1,0,1,2,"-7,1415","-34,8519",SR-PB,DEL14/1,UOP01/PB
203772,17/04/19,quarta-feira,05:00:00,PB,230,"156,8",CAMPINA GRANDE,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Simples,Interseção de vias,Sim,2,0,0,1,1,0,1,2,"-7,2693","-35,9138",SR-PB,DEL14/2,UOP01/PB
203776,17/04/19,quarta-feira,07:00:00,PB,101,"87,7",BAYEUX,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Interseção de vias,Sim,3,0,0,1,0,2,1,2,"-7,158868","-34,90629",SR-PB,DEL14/1,UOP01/PB
203788,17/04/19,quarta-feira,07:56:00,PB,230,"22,7",JOÃO PESSOA,Não guardar distância de segurança,Engavetamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,4,0,2,0,2,0,2,4,"-7,1495","-34,8517",SR-PB,DEL14/1,UOP01/PB
203790,17/04/19,quarta-feira,08:15:00,PB,230,35,SANTA RITA,Ingestão de álcool e/ou substâncias psicoativas pelo pedestre,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Interseção de vias,Sim,3,0,0,0,3,0,0,2,"-7,1268","-34,9412",SR-PB,DEL14/1,UOP03/PB
203791,17/04/19,quarta-feira,08:25:00,PB,230,"77,6",RIACHÃO DO POCO,Defeito na Via,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,2,0,1,0,1,0,1,1,"-7,183015","-35,30295",SR-PB,DEL14/1,UOP02/PB
203855,17/04/19,quarta-feira,13:00:00,PB,230,133,CAMPINA GRANDE,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Não,1,0,1,0,0,0,1,1,"-7,2767","-35,7464",SR-PB,DEL14/2,UOP01/PB
203857,17/04/19,quarta-feira,14:43:00,PB,230,14,CABEDELO,Falta de Atenção à Condução,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,0,0,2,0,0,2,"-7,0844","-34,8488",SR-PB,DEL14/1,UOP01/PB
203954,17/04/19,quarta-feira,18:40:00,PB,230,"279,7",SANTA LUZIA,Pista Escorregadia,Engavetamento,Sem Vítimas,Plena Noite,Crescente,Chuva,Simples,Reta,Não,4,0,0,0,4,0,0,4,"-6,9448","-36,8453",SR-PB,DEL14/3,UOP01/PB
203957,17/04/19,quarta-feira,23:40:00,PB,230,10,CABEDELO,Desobediência às normas de trânsito pelo condutor,Colisão traseira,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,0,0,2,0,0,2,"-7,0514","-34,8499",SR-PB,DEL14/1,UOP01/PB
204028,18/04/19,quinta-feira,10:20:00,PB,230,"116,9",INGÁ,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Sem Vítimas,Pleno dia,Crescente,Sol,Dupla,Não Informado,Não,2,0,0,0,2,0,0,2,"-7,240352","-35,61981",SR-PB,DEL14/1,UOP02/PB
204107,18/04/19,quinta-feira,15:15:00,PB,230,170,CAMPINA GRANDE,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,2,0,1,0,0,1,1,2,"-7,1806","-35,9873",SR-PB,DEL14/2,UOP02/PB
204256,19/04/19,sexta-feira,05:45:00,PB,230,"7,2",CABEDELO,Falta de Atenção à Condução,Saída de leito carroçável,Sem Vítimas,Amanhecer,Decrescente,Céu Claro,Dupla,Não Informado,Sim,1,0,0,0,1,0,0,1,"-7,026","-34,8385",SR-PB,DEL14/1,UOP01/PB
204432,20/04/19,sábado,07:30:00,PB,101,122,CAAPORA,Ultrapassagem Indevida,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Não,2,0,1,0,1,0,1,2,"-7,450382","-34,97994",SR-PB,DEL14/1,UOP01/PB
204439,20/04/19,sábado,10:00:00,PB,230,"28,1",JOÃO PESSOA,Fenômenos da Natureza,Colisão com objeto estático,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Viaduto,Não,2,0,2,0,0,0,2,1,"-7,1651","-34,8941",SR-PB,DEL14/1,UOP01/PB
204447,20/04/19,sábado,09:30:00,PB,230,28,JOÃO PESSOA,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,"-7,1651","-34,8941",SR-PB,DEL14/1,UOP01/PB
204466,20/04/19,sábado,13:40:00,PB,101,123,CAAPORA,Pista Escorregadia,Colisão com objeto estático,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Não,2,0,0,1,1,0,1,1,"-7,459091","-34,9805",SR-PB,DEL14/1,UOP01/PB
204514,20/04/19,sábado,18:40:00,PB,361,"26,1",SANTA TERESINHA,Animais na Pista,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,2,0,0,2,0,0,2,1,"-7,086536","-37,47464",SR-PB,DEL14/3,UOP01/PB
204663,21/04/19,domingo,13:45:00,PB,101,73,SANTA RITA,Ingestão de álcool,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,5,0,1,1,3,0,2,2,"-7,078282","-34,98824",SR-PB,DEL14/1,UOP03/PB
204671,21/04/19,domingo,10:15:00,PB,361,8,SANTA TERESINHA,Condutor Dormindo,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,2,0,1,0,1,0,1,2,"-7,041309","-37,32798",SR-PB,DEL14/3,UOP01/PB
204718,21/04/19,domingo,16:55:00,PB,101,78,SANTA RITA,Falta de Atenção à Condução,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Nublado,Dupla,Curva,Sim,2,0,0,0,1,1,0,2,"-7,108083","-34,96294",SR-PB,DEL14/1,UOP03/PB
204743,21/04/19,domingo,18:30:00,PB,230,38,SANTA RITA,Falta de Atenção à Condução,Colisão traseira,Sem Vítimas,Plena Noite,Decrescente,Nublado,Dupla,Não Informado,Sim,2,0,0,0,1,1,0,2,"-7,1341","-34,962",SR-PB,DEL14/1,UOP02/PB
